# ----------------------------------------
# 페이지 및 화면: 페이지 경로 및 화면 클래스
# 계정: 차량운행일지
# 속성: vehicle-drive-log
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260319
# 종료일: 20260415
페이지 경로 및 화면 클래스,조회수,활성 사용자,활성 사용자당 조회수,활성 사용자당 평균 참여 시간,이벤트 수,주요 이벤트,총수익
/,5930,1767,3.355970571590266,13.668364459535937,12100,0,0
/login,1784,797,2.238393977415307,30.628607277289838,4203,0,0
/employee/today,1600,403,3.970223325062035,130.72208436724566,3596,0,0
/admin/dashboard,382,169,2.260355029585799,66,908,0,0
/invite,305,252,1.2103174603174602,41.96825396825397,723,0,0
/employee/reservations,198,173,1.1445086705202312,149.28323699421966,685,0,0
/employee,186,120,1.55,1.1,282,0,0
/faq,186,108,1.7222222222222223,38.638888888888886,349,0,0
/employee/drive-log,129,87,1.4827586206896552,76.71264367816092,328,0,0
/super-admin,121,24,5.041666666666667,0.875,131,0,0
/employee/more,120,85,1.411764705882353,97.32941176470588,334,0,0
/admin,117,68,1.7205882352941178,2.073529411764706,176,0,0
/super-admin/dashboard,113,24,4.708333333333333,280.75,331,0,0
/super-admin/organizations,111,18,6.166666666666667,187.33333333333334,282,0,0
/release-notes,94,73,1.2876712328767124,9.945205479452055,197,0,0
/super-admin/applications,92,28,3.2857142857142856,49.5,220,0,0
/employee/my-records,73,82,0.8902439024390244,97.3170731707317,267,0,0
/admin/employees,69,46,1.5,331.7173913043478,220,0,0
/super-admin/feedbacks,63,21,3,198.23809523809524,191,0,0
/admin/reservations,62,54,1.1481481481481481,197.05555555555554,222,0,0
/apply,62,87,0.7126436781609196,45.67816091954023,196,0,0
/admin/logs,53,59,0.8983050847457628,255.33898305084745,232,0,0
/employee/quick-drive,39,48,0.8125,73.77083333333333,125,0,0
/admin/vehicles,34,43,0.7906976744186046,214.7906976744186,123,0,0
/employee/fuel,19,40,0.475,110.475,82,0,0
/privacy,16,14,1.1428571428571428,6.857142857142857,30,0,0
/admin/settings,11,30,0.36666666666666664,115.36666666666666,68,0,0
/terms,10,9,1.1111111111111112,5.666666666666667,19,0,0
/admin/maintenance,9,9,1,31.444444444444443,27,0,0
/employee/vehicle-history,5,12,0.4166666666666667,71.16666666666667,28,0,0
/fag,2,1,2,1,5,0,0
/employee/favorites,1,4,0.25,339.75,7,0,0
/admin/analytics,0,6,0,205.5,8,0,0
/admin/hipass,0,4,0,70.75,10,0,0
/admin/monthly-report,0,3,0,181,3,0,0
